,zipcode,businesses_x,counts_x,businesses_y,counts_y,businesses_x_5,counts_x_6,businesses_y_7,counts_y_8
0,10001,Sidewalk Cafe,10,Pawnbroker,1,Debt Collection Agency,5,Cigarette Retail Dealer,98
1,10010,Sidewalk Cafe,21,Pawnbroker,2,Debt Collection Agency,1,Cigarette Retail Dealer,45
2,10011,Sidewalk Cafe,44,Pawnbroker,1,Debt Collection Agency,1,Cigarette Retail Dealer,69
3,10017,Sidewalk Cafe,7,Pawnbroker,5,Debt Collection Agency,4,Cigarette Retail Dealer,57
4,10018,Sidewalk Cafe,1,Pawnbroker,2,Debt Collection Agency,2,Cigarette Retail Dealer,74
5,10019,Sidewalk Cafe,41,Pawnbroker,1,Debt Collection Agency,3,Cigarette Retail Dealer,104
6,10022,Sidewalk Cafe,28,Pawnbroker,3,Debt Collection Agency,1,Cigarette Retail Dealer,72
7,10032,Sidewalk Cafe,6,Pawnbroker,1,Debt Collection Agency,1,Cigarette Retail Dealer,53
8,10036,Sidewalk Cafe,33,Pawnbroker,32,Debt Collection Agency,2,Cigarette Retail Dealer,74
9,10458,Sidewalk Cafe,6,Pawnbroker,15,Debt Collection Agency,1,Cigarette Retail Dealer,95
10,10462,Sidewalk Cafe,2,Pawnbroker,7,Debt Collection Agency,1,Cigarette Retail Dealer,81
11,10463,Sidewalk Cafe,6,Pawnbroker,3,Debt Collection Agency,1,Cigarette Retail Dealer,49
