,zipcode,businesses,counts
12,10001,Pawnbroker,1
42,10002,Pawnbroker,5
126,10005,Pawnbroker,1
182,10009,Pawnbroker,1
195,10010,Pawnbroker,2
236,10011,Pawnbroker,1
367,10017,Pawnbroker,5
384,10018,Pawnbroker,2
430,10019,Pawnbroker,1
456,10020,Pawnbroker,2
506,10022,Pawnbroker,3
593,10025,Pawnbroker,2
631,10027,Pawnbroker,3
706,10029,Pawnbroker,8
724,10030,Pawnbroker,2
742,10031,Pawnbroker,7
770,10032,Pawnbroker,1
793,10033,Pawnbroker,11
811,10034,Pawnbroker,3
854,10035,Pawnbroker,2
883,10036,Pawnbroker,32
899,10037,Pawnbroker,1
971,10040,Pawnbroker,2
1243,10301,Pawnbroker,1
1279,10302,Pawnbroker,1
1287,10303,Pawnbroker,2
1350,10305,Pawnbroker,2
1369,10306,Pawnbroker,2
1394,10307,Pawnbroker,1
1501,10314,Pawnbroker,3
1527,10451,Pawnbroker,5
1566,10452,Pawnbroker,5
1577,10453,Pawnbroker,7
1613,10454,Pawnbroker,2
1630,10455,Pawnbroker,7
1663,10456,Pawnbroker,5
1689,10457,Pawnbroker,7
1719,10458,Pawnbroker,15
1736,10459,Pawnbroker,8
1773,10460,Pawnbroker,4
1793,10461,Pawnbroker,2
1832,10462,Pawnbroker,7
1860,10463,Pawnbroker,3
1935,10466,Pawnbroker,2
1959,10467,Pawnbroker,9
1991,10468,Pawnbroker,6
2019,10469,Pawnbroker,2
2080,10472,Pawnbroker,6
2090,10473,Pawnbroker,2
2135,10475,Pawnbroker,1
2651,11004,Pawnbroker,1
2755,11101,Pawnbroker,2
2799,11103,Pawnbroker,1
2838,11104,Pawnbroker,1
2856,11105,Pawnbroker,1
2875,11106,Pawnbroker,1
2934,11201,Pawnbroker,3
2957,11203,Pawnbroker,2
3026,11206,Pawnbroker,3
3052,11207,Pawnbroker,6
3077,11208,Pawnbroker,4
3091,11209,Pawnbroker,2
3130,11210,Pawnbroker,5
3153,11211,Pawnbroker,1
3172,11212,Pawnbroker,6
3203,11213,Pawnbroker,3
3295,11216,Pawnbroker,3
3319,11217,Pawnbroker,1
3404,11220,Pawnbroker,3
3416,11221,Pawnbroker,3
3450,11222,Pawnbroker,1
3481,11223,Pawnbroker,6
3500,11224,Pawnbroker,2
3550,11226,Pawnbroker,10
3593,11228,Pawnbroker,1
3680,11232,Pawnbroker,2
3730,11234,Pawnbroker,1
3757,11235,Pawnbroker,2
3811,11236,Pawnbroker,3
3821,11237,Pawnbroker,2
3926,11354,Pawnbroker,3
3971,11355,Pawnbroker,1
4031,11358,Pawnbroker,1
4083,11361,Pawnbroker,1
4210,11368,Pawnbroker,1
4241,11370,Pawnbroker,1
4291,11372,Pawnbroker,6
4297,11373,Pawnbroker,5
4347,11374,Pawnbroker,3
4363,11375,Pawnbroker,2
4410,11377,Pawnbroker,1
4475,11385,Pawnbroker,2
4515,11412,Pawnbroker,1
4531,11413,Pawnbroker,2
4606,11416,Pawnbroker,2
4614,11417,Pawnbroker,3
4639,11418,Pawnbroker,2
4695,11420,Pawnbroker,1
4714,11421,Pawnbroker,1
4741,11422,Pawnbroker,2
4756,11423,Pawnbroker,1
4768,11426,Pawnbroker,2
4806,11428,Pawnbroker,1
4822,11429,Pawnbroker,1
4849,11432,Pawnbroker,5
4917,11434,Pawnbroker,2
4944,11435,Pawnbroker,5
5276,11693,Pawnbroker,1
