Source Zipcode,Counts
94120,2
94120,1
94120,1
94120,2
94120,1
94120,4
94120,1
94121,189
94121,52
94121,205
94121,93
94121,323
94121,41
94121,226
94121,33
94121,11
94121,26
94121,94
94121,148
94121,359
94121,961
94121,256
94121,130
94121,4
94121,66
94122,270
94122,62
94122,258
94122,153
94122,448
94122,47
94122,404
94122,53
94122,32
94122,38
94122,146
94122,306
94122,535
94122,995
94122,416
94122,159
94122,2
94122,93
94123,205
94123,59
94123,121
94123,121
94123,77
94123,120
94123,270
94123,41
94123,10
94123,11
94123,82
94123,274
94123,537
94123,1309
94123,417
94123,10
94123,2
94123,73
94124,81
94124,115
94124,161
94124,129
94124,602
94124,20
94124,319
94124,32
94124,6
94124,221
94124,160
94124,39
94124,169
94124,302
94124,353
94124,314
94124,2
94124,278
94125,1
94125,1
94125,1
94126,1
94126,1
94126,1
94126,1
94126,2
94127,76
94127,38
94127,85
94127,80
94127,152
94127,30
94127,96
94127,33
94127,10
94127,11
94127,49
94127,124
94127,343
94127,283
94127,144
94127,26
94127,2
94127,30
94128,2
94128,3
94128,1
94128,1
94128,2
94128,1
94128,2
94128,1
94128,1
94129,7
94129,21
94129,9
94129,5
94129,61
94129,6
94129,16
94129,3
94129,7
94129,6
94129,24
94129,84
94129,15
94129,8
94129,4
94129,2
94129,5
94130,1
94130,2
94130,8
94130,2
94130,15
94130,12
94130,11
94130,9
94130,2
94130,21
94130,3
94130,116
94130,10
94130,2
94131,227
94131,53
94131,215
94131,57
94131,155
94131,30
94131,100
94131,34
94131,3
94131,17
94131,68
94131,123
94131,400
94131,415
94131,108
94131,38
94131,1
94131,27
94132,34
94132,23
94132,73
94132,27
94132,139
94132,37
94132,147
94132,12
94132,6
94132,13
94132,68
94132,99
94132,170
94132,247
94132,224
94132,71
94132,1
94132,35
94133,188
94133,76
94133,208
94133,117
94133,90
94133,84
94133,481
94133,74
94133,17
94133,18
94133,88
94133,90
94133,503
94133,1184
94133,527
94133,47
94133,3
94133,91
94134,69
94134,38
94134,82
94134,56
94134,253
94134,11
94134,109
94134,12
94134,15
94134,19
94134,45
94134,40
94134,116
94134,127
94134,139
94134,172
94134,2
94134,44
94137,2
94137,1
94140,1
94141,3
94141,4
94141,1
94141,3
94141,1
94142,1
94142,2
94142,2
94142,2
94143,1
94143,2
94143,1
94143,2
94143,1
94143,3
94143,44
94143,3
94145,1
94145,1
94146,1
94146,1
94146,1
94147,1
94147,1
94147,1
94147,3
94147,4
94147,1
94153,1
94155,1
94158,18
94158,11
94158,12
94158,4
94158,10
94158,17
94158,55
94158,10
94158,6
94158,11
94158,10
94158,61
94158,189
94158,27
94158,12
94158,3
94159,1
94159,3
94159,6
94164,1
94164,1
94164,1
94165,1
94170,1
94177,1
94177,1
94177,1
94177,2
94188,2
94188,1
94188,1
94188,13
94188,1
94188,3
94188,1
94188,1
94194,1
94198,1
94213,1
94301,1
94301,1
94301,1
94301,1
94301,1
94301,1
94306,1
94310,1
94312,1
94401,1
94404,1
94418,1
94501,1
94503,1
94506,1
94507,1
94511,1
94518,2
94536,1
94546,1
94549,1
94556,1
94564,1
94565,1
94587,1
94596,1
94607,1
94608,1
94608,1
94609,1
94610,1
94610,1
94610,1
94611,1
94611,2
94618,1
94619,1
94704,1
94704,1
94709,1
94896,1
94901,1
94901,1
94901,1
94904,1
94914,1
94920,1
94920,1
94941,1
94947,1
94952,1
94960,1
94965,1
94965,1
94966,1
94978,1
95003,1
95103,1
95103,1
95107,1
95108,1
95120,1
95124,1
95134,1
95158,1
95376,1
95403,1
95608,1
95650,1
95662,1
95819,1
95833,1
96140,1
96150,1
96753,1
96815,1
98104,1
98108,1
99999,1
