zipcode,businesses,counts
10001,Debt Collection Agency,0.005
10003,Debt Collection Agency,0.002
10004,Debt Collection Agency,0.003
10005,Debt Collection Agency,0.001
10006,Debt Collection Agency,0.004
10007,Debt Collection Agency,0.001
10010,Debt Collection Agency,0.001
10011,Debt Collection Agency,0.001
10013,Debt Collection Agency,0.001
10016,Debt Collection Agency,0.005
10017,Debt Collection Agency,0.004
10018,Debt Collection Agency,0.002
10019,Debt Collection Agency,0.003
10021,Debt Collection Agency,0.001
10022,Debt Collection Agency,0.001
10023,Debt Collection Agency,0.001
10024,Debt Collection Agency,0.001
10032,Debt Collection Agency,0.001
10036,Debt Collection Agency,0.002
10038,Debt Collection Agency,0.001
10128,Debt Collection Agency,0.001
10168,Debt Collection Agency,0.001
10282,Debt Collection Agency,0.002
10308,Debt Collection Agency,0.001
10311,Debt Collection Agency,0.001
10314,Debt Collection Agency,0.002
10457,Debt Collection Agency,0.001
10458,Debt Collection Agency,0.001
10462,Debt Collection Agency,0.001
10463,Debt Collection Agency,0.001
10469,Debt Collection Agency,0.001
10523,Debt Collection Agency,0.001
10530,Debt Collection Agency,0.001
10532,Debt Collection Agency,0.001
10549,Debt Collection Agency,0.001
10589,Debt Collection Agency,0.005
10590,Debt Collection Agency,0.001
10591,Debt Collection Agency,0.002
10594,Debt Collection Agency,0.001
10595,Debt Collection Agency,0.006
10601,Debt Collection Agency,0.002
10603,Debt Collection Agency,0.002
10604,Debt Collection Agency,0.012
10710,Debt Collection Agency,0.003
10801,Debt Collection Agency,0.001
10901,Debt Collection Agency,0.001
10954,Debt Collection Agency,0.001
10956,Debt Collection Agency,0.001
10962,Debt Collection Agency,0.001
10977,Debt Collection Agency,0.003
1100,Debt Collection Agency,0.001
11001,Debt Collection Agency,0.003
1101,Debt Collection Agency,0.002
11021,Debt Collection Agency,0.006
11042,Debt Collection Agency,0.002
11050,Debt Collection Agency,0.001
11096,Debt Collection Agency,0.001
11101,Debt Collection Agency,0.001
11102,Debt Collection Agency,0.001
11201,Debt Collection Agency,0.003
11207,Debt Collection Agency,0.001
11209,Debt Collection Agency,0.001
11210,Debt Collection Agency,0.001
11215,Debt Collection Agency,0.001
11216,Debt Collection Agency,0.001
11218,Debt Collection Agency,0.001
11219,Debt Collection Agency,0.001
11228,Debt Collection Agency,0.001
11229,Debt Collection Agency,0.002
11233,Debt Collection Agency,0.001
11234,Debt Collection Agency,0.001
11241,Debt Collection Agency,0.001
11242,Debt Collection Agency,0.001
11361,Debt Collection Agency,0.003
11365,Debt Collection Agency,0.001
11366,Debt Collection Agency,0.003
11374,Debt Collection Agency,0.001
11375,Debt Collection Agency,0.002
11377,Debt Collection Agency,0.001
11378,Debt Collection Agency,0.001
11414,Debt Collection Agency,0.001
11422,Debt Collection Agency,0.001
11432,Debt Collection Agency,0.001
11434,Debt Collection Agency,0.001
11501,Debt Collection Agency,0.004
11514,Debt Collection Agency,0.001
11516,Debt Collection Agency,0.001
11520,Debt Collection Agency,0.001
11530,Debt Collection Agency,0.005
11545,Debt Collection Agency,0.001
11552,Debt Collection Agency,0.001
11553,Debt Collection Agency,0.001
11557,Debt Collection Agency,0.001
11566,Debt Collection Agency,0.005
11570,Debt Collection Agency,0.001
11581,Debt Collection Agency,0.001
11590,Debt Collection Agency,0.005
11598,Debt Collection Agency,0.001
