,Source Zipcode,NAICS Code Description,Counts
367,94120,Financial Services,2
368,94120,Food Services,1
369,94120,Private Education and Health Services,1
370,94120,"Professional, Scientific, and Technical Services",2
371,94120,Real Estate and Rental and Leasing Services,1
372,94120,Retail Trade,4
373,94120,Wholesale Trade,1
374,94121,Accommodations,189
375,94121,Administrative and Support Services,52
376,94121,"Arts, Entertainment, and Recreation",205
377,94121,Certain Services,93
378,94121,Construction,323
379,94121,Financial Services,41
380,94121,Food Services,226
381,94121,Information,33
382,94121,Insurance,11
383,94121,Manufacturing,26
384,94121,Multiple,94
385,94121,Private Education and Health Services,148
386,94121,"Professional, Scientific, and Technical Services",359
387,94121,Real Estate and Rental and Leasing Services,961
388,94121,Retail Trade,256
389,94121,Transportation and Warehousing,130
390,94121,Utilities,4
391,94121,Wholesale Trade,66
392,94122,Accommodations,270
393,94122,Administrative and Support Services,62
394,94122,"Arts, Entertainment, and Recreation",258
395,94122,Certain Services,153
396,94122,Construction,448
397,94122,Financial Services,47
398,94122,Food Services,404
399,94122,Information,53
400,94122,Insurance,32
401,94122,Manufacturing,38
402,94122,Multiple,146
403,94122,Private Education and Health Services,306
404,94122,"Professional, Scientific, and Technical Services",535
405,94122,Real Estate and Rental and Leasing Services,995
406,94122,Retail Trade,416
407,94122,Transportation and Warehousing,159
408,94122,Utilities,2
409,94122,Wholesale Trade,93
410,94123,Accommodations,205
411,94123,Administrative and Support Services,59
412,94123,"Arts, Entertainment, and Recreation",121
413,94123,Certain Services,121
414,94123,Construction,77
415,94123,Financial Services,120
416,94123,Food Services,270
417,94123,Information,41
418,94123,Insurance,10
419,94123,Manufacturing,11
420,94123,Multiple,82
421,94123,Private Education and Health Services,274
422,94123,"Professional, Scientific, and Technical Services",537
423,94123,Real Estate and Rental and Leasing Services,1309
424,94123,Retail Trade,417
425,94123,Transportation and Warehousing,10
426,94123,Utilities,2
427,94123,Wholesale Trade,73
428,94124,Accommodations,81
429,94124,Administrative and Support Services,115
430,94124,"Arts, Entertainment, and Recreation",161
431,94124,Certain Services,129
432,94124,Construction,602
433,94124,Financial Services,20
434,94124,Food Services,319
435,94124,Information,32
436,94124,Insurance,6
437,94124,Manufacturing,221
438,94124,Multiple,160
439,94124,Private Education and Health Services,39
440,94124,"Professional, Scientific, and Technical Services",169
441,94124,Real Estate and Rental and Leasing Services,302
442,94124,Retail Trade,353
443,94124,Transportation and Warehousing,314
444,94124,Utilities,2
445,94124,Wholesale Trade,278
446,94125,Private Education and Health Services,1
447,94125,Real Estate and Rental and Leasing Services,1
448,94125,Transportation and Warehousing,1
449,94126,Administrative and Support Services,1
450,94126,Food Services,1
451,94126,Information,1
452,94126,"Professional, Scientific, and Technical Services",1
453,94126,Real Estate and Rental and Leasing Services,2
454,94127,Accommodations,76
455,94127,Administrative and Support Services,38
456,94127,"Arts, Entertainment, and Recreation",85
457,94127,Certain Services,80
458,94127,Construction,152
459,94127,Financial Services,30
460,94127,Food Services,96
461,94127,Information,33
462,94127,Insurance,10
463,94127,Manufacturing,11
464,94127,Multiple,49
465,94127,Private Education and Health Services,124
466,94127,"Professional, Scientific, and Technical Services",343
467,94127,Real Estate and Rental and Leasing Services,283
468,94127,Retail Trade,144
469,94127,Transportation and Warehousing,26
470,94127,Utilities,2
471,94127,Wholesale Trade,30
472,94128,Construction,2
473,94128,Food Services,3
474,94128,Private Education and Health Services,1
475,94128,"Professional, Scientific, and Technical Services",1
476,94128,Real Estate and Rental and Leasing Services,2
477,94128,Retail Trade,1
478,94128,Transportation and Warehousing,2
479,94128,Utilities,1
480,94128,Wholesale Trade,1
481,94129,Administrative and Support Services,7
482,94129,"Arts, Entertainment, and Recreation",21
483,94129,Certain Services,9
484,94129,Construction,5
485,94129,Financial Services,61
486,94129,Food Services,6
487,94129,Information,16
488,94129,Insurance,3
489,94129,Manufacturing,7
490,94129,Multiple,6
491,94129,Private Education and Health Services,24
492,94129,"Professional, Scientific, and Technical Services",84
493,94129,Real Estate and Rental and Leasing Services,15
494,94129,Retail Trade,8
495,94129,Transportation and Warehousing,4
496,94129,Utilities,2
497,94129,Wholesale Trade,5
498,94130,Accommodations,1
499,94130,Administrative and Support Services,2
500,94130,"Arts, Entertainment, and Recreation",8
501,94130,Certain Services,2
502,94130,Construction,15
503,94130,Food Services,12
504,94130,Manufacturing,11
505,94130,Multiple,9
506,94130,Private Education and Health Services,2
507,94130,"Professional, Scientific, and Technical Services",21
508,94130,Real Estate and Rental and Leasing Services,3
509,94130,Retail Trade,116
510,94130,Transportation and Warehousing,10
511,94130,Wholesale Trade,2
512,94131,Accommodations,227
513,94131,Administrative and Support Services,53
514,94131,"Arts, Entertainment, and Recreation",215
515,94131,Certain Services,57
516,94131,Construction,155
517,94131,Financial Services,30
518,94131,Food Services,100
519,94131,Information,34
520,94131,Insurance,3
521,94131,Manufacturing,17
522,94131,Multiple,68
523,94131,Private Education and Health Services,123
524,94131,"Professional, Scientific, and Technical Services",400
525,94131,Real Estate and Rental and Leasing Services,415
526,94131,Retail Trade,108
527,94131,Transportation and Warehousing,38
528,94131,Utilities,1
529,94131,Wholesale Trade,27
530,94132,Accommodations,34
531,94132,Administrative and Support Services,23
532,94132,"Arts, Entertainment, and Recreation",73
533,94132,Certain Services,27
534,94132,Construction,139
535,94132,Financial Services,37
536,94132,Food Services,147
537,94132,Information,12
538,94132,Insurance,6
539,94132,Manufacturing,13
540,94132,Multiple,68
541,94132,Private Education and Health Services,99
542,94132,"Professional, Scientific, and Technical Services",170
543,94132,Real Estate and Rental and Leasing Services,247
544,94132,Retail Trade,224
545,94132,Transportation and Warehousing,71
546,94132,Utilities,1
