,Source Zipcode,Counts
0,90230,1
1,90715,1
2,91104,1
3,91112,1
4,91403,1
5,91408,1
6,91458,1
7,91789,1
8,92104,1
9,92117,1
10,92626,1
11,93644,1
12,93940,1
13,94002,1
14,94005,2
15,94010,4
16,94011,1
17,94012,6
18,94013,10
19,94014,9
20,94015,10
21,94017,8
22,94018,2
23,94019,4
24,94021,2
25,94022,2
26,94025,2
27,94028,1
28,94030,1
29,94044,2
30,94065,1
31,94066,4
32,94080,4
33,94086,1
34,94100,2
35,94101,19
36,94102,4830
37,94103,7177
38,94104,3675
39,94105,4173
40,94106,9
41,94107,5874
42,94108,3858
43,94109,5813
44,94110,7721
45,94111,4155
46,94112,3270
47,94113,8
48,94114,4275
49,94115,3943
50,94116,2482
51,94117,4262
52,94118,4594
53,94119,14
54,94120,2
