,zipcode,AGI_STUB,N1,A00100
0,00000,546,75619290,4857739566
1,01001,21,8780,458716
2,01002,21,9460,732849
3,01005,21,2230,122744
4,01007,21,7320,467891
5,01008,21,640,38487
6,01010,21,1830,121083
7,01011,21,600,30165
8,01012,21,330,18634
9,01013,21,10090,383618
10,01020,21,15030,661469
11,01022,21,1150,52518
12,01026,21,510,28009
13,01027,21,9660,507235
14,01028,21,7970,640252
15,01030,21,5990,347502
16,01031,21,530,21987
17,01032,21,280,14361
18,01033,21,3260,188947
19,01034,21,1000,62747
20,01035,21,2690,158963
21,01036,21,2630,196288
22,01038,21,1330,80005
23,01039,21,770,49520
24,01040,21,15990,640425
25,01050,21,1300,68051
26,01053,21,900,54000
27,01054,21,980,78778
28,01056,21,10110,564044
29,01057,21,4130,241131
30,01060,21,7250,456740
31,01062,21,5680,393357
32,01068,21,980,61037
33,01069,21,4080,212313
34,01070,21,320,14755
35,01071,21,750,40161
36,01072,21,770,42628
37,01073,21,3150,227563
38,01075,21,8400,522424
39,01077,21,4950,336012
40,01080,21,1140,44218
41,01081,21,840,41801
42,01082,21,4940,234574
43,01085,21,18760,1078265
44,01088,21,320,16328
45,01089,21,13690,742686
46,01095,21,7150,648537
47,01096,21,1350,87745
48,01098,21,620,34874
49,01103,21,980,31380
50,01104,21,9710,312342
51,01105,21,3660,78404
52,01106,21,7610,1087997
53,01107,21,3780,108098
54,01108,21,10700,369545
55,01109,21,11020,323016
56,01118,21,7050,337184
57,01119,21,6010,240320
58,01128,21,1460,77581
59,01129,21,3610,167171
60,01151,21,3720,117553
61,01201,21,22130,1080801
62,01220,21,4220,178823
63,01222,21,410,17236
64,01223,21,1140,61806
65,01224,21,110,4853
66,01225,21,1690,91114
67,01226,21,3350,192828
68,01230,21,3720,258763
69,01235,21,1370,73525
70,01236,21,870,43791
71,01237,21,1520,84815
72,01238,21,2990,150143
73,01240,21,2500,223209
74,01245,21,400,25937
75,01247,21,6760,263845
76,01253,21,450,23426
77,01254,21,630,83245
78,01255,21,320,15761
79,01256,21,330,16343
80,01257,21,1190,73860
81,01258,21,380,29026
82,01259,21,230,14669
83,01266,21,700,67381
84,01267,21,2940,263426
85,01270,21,360,23723
86,01301,21,8440,386863
87,01330,21,780,49488
88,01331,21,5930,261518
89,01337,21,1370,73270
90,01338,21,130,6121
91,01339,21,720,34088
92,01340,21,930,44105
93,01341,21,850,68530
94,01342,21,670,51219
95,01344,21,720,34397
96,01346,21,190,9125
97,01349,21,410,17112
98,01351,21,1220,68355
99,01354,21,790,42045
100,01355,21,450,25736
101,01360,21,1440,81415
102,01364,21,3310,139040
103,01366,21,580,38128
104,01367,21,230,10460
105,01368,21,570,29132
106,01370,21,2020,103597
107,01373,21,2330,149534
108,01375,21,1800,95409
109,01376,21,2540,95586
110,01378,21,370,17427
111,01379,21,410,17688
112,01420,21,16970,725666
113,01430,21,2900,190863
114,01431,21,1530,92296
115,01432,21,4010,234485
116,01434,21,200,13836
117,01436,21,1340,63129
118,01440,21,8910,400582
119,01450,21,4930,694334
120,01451,21,2490,400478
121,01452,21,2120,143746
122,01453,21,20480,1095958
123,01460,21,4440,423623
124,01462,21,5350,391807
125,01463,21,5670,405348
126,01464,21,2980,192967
127,01468,21,2030,114583
128,01469,21,3470,217628
129,01473,21,3780,269508
130,01474,21,980,62798
131,01475,21,4380,214540
132,01501,21,8480,525288
133,01503,21,1510,140945
134,01504,21,4550,251440
135,01505,21,2280,226967
136,01506,21,1600,87548
137,01507,21,5990,416872
138,01510,21,7360,379320
139,01515,21,1100,64252
140,01516,21,4140,281283
141,01518,21,1490,122847
142,01519,21,3360,316628
143,01520,21,7280,603586
144,01521,21,1220,70645
145,01522,21,1680,120828
146,01523,21,2870,236533
147,01524,21,3280,191528
148,01527,21,6820,405362
149,01529,21,1550,92886
150,01531,21,480,28769
151,01532,21,7490,804614
152,01534,21,2850,204501
153,01535,21,2280,117568
154,01536,21,3530,309856
155,01537,21,1190,61649
156,01540,21,5560,313860
157,01541,21,1760,173087
158,01542,21,1140,64082
159,01543,21,3850,276143
160,01545,21,17220,1764162
161,01550,21,7900,338281
162,01560,21,2080,156041
163,01562,21,5610,297207
164,01564,21,3890,336986
165,01566,21,3240,260315
166,01568,21,3550,349334
167,01569,21,6470,438875
168,01570,21,8190,412851
169,01571,21,5250,305406
170,01581,21,9190,1061179
171,01583,21,3590,247166
